report date,date,time,weight
2021-03-25 11:56:27,2021-03-09 00:00:00,17:34:12,0.48
2021-03-25 11:56:27,2021-03-09 00:00:00,17:34:31,0.39
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:35:24,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:49,0.56
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:49,0.95
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:49,0.77
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:49,0.96
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.62
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.95
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.46
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.96
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.52
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.58
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.79
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.46
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.40
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.94
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.78
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.94
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:50,0.61
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:51,0.95
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:51,0.96
2021-03-25 11:56:27,2021-03-09 00:00:00,17:37:51,0.54
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:21,0.60
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:23,0.71
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:26,0.89
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:29,0.96
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:31,0.79
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:34,0.61
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:36,0.94
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:39,0.83
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:41,0.88
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:44,0.47
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:46,0.53
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:49,0.76
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:51,0.74
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:54,0.47
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:56,0.66
2021-03-25 11:56:27,2021-03-09 00:00:00,17:39:59,0.58
2021-03-25 11:56:27,2021-03-09 00:00:00,17:40:01,0.40
2021-03-25 11:56:27,2021-03-09 00:00:00,17:40:04,0.49
2021-03-25 11:56:27,2021-03-09 00:00:00,17:40:06,0.79
2021-03-25 11:56:27,2021-03-09 00:00:00,17:40:09,0.46
2021-03-25 11:56:27,2021-03-18 00:00:00,10:32:03,0.97
